group,valid,validity,EER,FNMR@FMR=1e-3,FNMR@FMR=1e-4,accuracy,balanced_accuracy,TPR,FPR,FNR,TNR,TP,FP,TN,FN
overall,True,,0.49998969008392274,0.9999793801678455,0.9999793801678455,0.9413854063609971,0.9354146595259083,0.9228612079097677,0.052031888857950966,0.07713879209023239,0.947968111142049,44756,7101,129373,3741
asian_females,True,,0.4997530864197531,0.9995061728395062,0.9995061728395062,0.9056089327447416,0.9040430848322341,0.9007407407407407,0.09265457107627267,0.09925925925925926,0.9073454289237273,5472,1578,15453,603
asian_males,True,,0.4996701302985321,0.9993402605970642,0.9993402605970642,0.9130904067006304,0.9193674953449239,0.9325416460498104,0.09380665535996258,0.06745835395018968,0.9061933446400374,5654,1604,15495,409
black_females,True,,0.4998349834983498,0.9996699669966996,0.9996699669966996,0.9425366994327286,0.9438776339619519,0.9466996699669967,0.05894440204309282,0.0533003300330033,0.9410555979569072,5737,1004,16029,323
black_males,True,,0.49991749174917494,0.9998349834983499,0.9998349834983499,0.9380079543489538,0.9426206731497893,0.9523102310231023,0.0670688847235239,0.04768976897689769,0.9329311152764761,5771,1145,15927,289
indian_females,True,,0.49991738268341046,0.9998347653668209,0.9998347653668209,0.9415047808592567,0.9291373925054816,0.903172504957039,0.044897719946075845,0.09682749504296101,0.9551022800539242,5466,766,16295,586
indian_males,True,,0.499835255354201,0.999670510708402,0.999670510708402,0.9475074710901294,0.9395918293857635,0.9228995057660626,0.04371584699453552,0.0771004942339374,0.9562841530054644,5602,744,16275,468
white_females,True,,0.4999174099768748,0.9998348199537496,0.9998348199537496,0.9709355131698456,0.9531863808717964,0.9159233564585398,0.009550594714946974,0.08407664354146019,0.990449405285053,5545,163,16904,509
white_males,True,,0.4995876628731651,0.9991753257463302,0.9991753257463302,0.9718851220038869,0.9514754615116825,0.9086260926933861,0.005675169670021063,0.09137390730661389,0.994324830329979,5509,97,16995,554
