group,threshold
asian_females,0.42540851886382325
asian_males,0.47764638812842963
black_females,0.4435071522343852
black_males,0.48636058671679905
indian_females,0.46666936047808205
indian_males,0.4402028622034795
white_females,0.43620264147947685
white_males,0.39845916909540824
