accuracy,balanced_accuracy,TPR,FPR,FNR,TNR,TP,FP,TN,FN,group
0.9224797400673619,0.9213399145746435,0.9189434398004,0.07626361065111303,0.08105656019959998,0.923736389348887,44566,10408,126066,3931,overall
0.8898121699991344,0.8852794939656154,0.8757201646090536,0.10516117667782279,0.1242798353909465,0.8948388233221772,5320,1791,15240,755,asian_females
0.8951299542353855,0.9033175469875023,0.9205014019462312,0.11386630797122639,0.07949859805376876,0.8861336920287736,5581,1947,15152,482,asian_males
0.9225739401550254,0.9279531734069315,0.9392739273927393,0.0833675805788763,0.06072607260726073,0.9166324194211237,5692,1420,15613,368,black_females
0.9243472246238976,0.9315562548522893,0.9466996699669967,0.083587160262418,0.0533003300330033,0.916412839737582,5737,1427,15645,323,black_males
0.9273568987150088,0.918754471775453,0.9006939854593523,0.06318504190844616,0.09930601454064772,0.9368149580915538,5451,1078,15983,601,indian_females
0.9317423881502014,0.9267781633338764,0.9163097199341022,0.06275339326634938,0.08369028006589786,0.9372466067336507,5562,1068,15951,508,indian_males
0.9311448466761818,0.9314565668809622,0.9321110009910802,0.06919786722915568,0.06788899900891972,0.9308021327708443,5643,1181,15886,411,white_females
0.9577197149643706,0.9456585214017155,0.9203364670954973,0.029019424292066463,0.07966353290450272,0.9709805757079335,5580,496,16596,483,white_males
